nct_id,title,condition,intervention,enrollment,phase,completion_date,outcomes,results,descriptions,is_digital,effect_size,statistical_significance,clinical_relevance,is_placebo_trial,is_open_label,study_type,status
NCT05042479,Using of Virtual Reality to Relieve Procedural Pain in Pediatric Oncology.,"Hematologic Malignancy, Hematologic Non Malignancy, Solid Tumor, Childhood, Child, Only",Usual distraction and pain prevention techniques.; Virtual reality; Choice between usual distraction or virtual reality,34,NA,Not specified,Not specified,Not specified,Using of Virtual Reality to Relieve Procedural Pain in Pediatric Oncology.,True,0.2,False,High,False,False,INTERVENTIONAL,COMPLETED
NCT00739479,CCRC: Effects of Partially Hydrolyzed Whey Peptides (PHWP) On Weight Loss In Individuals With The Metabolic Syndrome (METS),"Metabolic Syndrome, Overweight",Weight Loss,35,NA,Not specified,Not specified,Not specified,CCRC: Effects of Partially Hydrolyzed Whey Peptides (PHWP) On Weight Loss In Individuals With The Metabolic Syndrome (METS),True,0.3,False,Low,True,False,INTERVENTIONAL,COMPLETED
NCT01294579,Ofatumumab and Bendamustine Followed by Maintenance Ofatumumab for Rituximab Relapsed Indolent B-cell Non-Hodgkin's Lymphoma (B-NHL),"Lymphoma, Non-Hodgkin",Ofatumumab; Bendamustine,49,PHASE2,Not specified,Not specified,Not specified,Ofatumumab and Bendamustine Followed by Maintenance Ofatumumab for Rituximab Relapsed Indolent B-cell Non-Hodgkin's Lymphoma (B-NHL),True,0.2,False,High,False,True,INTERVENTIONAL,COMPLETED
NCT06970379,T-prf Versus T-prf and Low-level Laser Stimulation on Bone Healing at Posterior Mandibular Fractures,Posterior Mandibular Fractures,T-PRF; T-PRF and Laser biomodulation,14,NA,Not specified,Not specified,Not specified,T-prf Versus T-prf and Low-level Laser Stimulation on Bone Healing at Posterior Mandibular Fractures,True,0.2,False,High,False,True,INTERVENTIONAL,COMPLETED
NCT05193279,Safety and Immunogenicity of SCB-2019 in Children <18 Years of Age,COVID-19,"Candidate vaccine, SCB-2019",0,PHASE2,Not specified,Not specified,Not specified,Safety and Immunogenicity of SCB-2019 in Children <18 Years of Age,True,0.3,False,Medium,True,False,INTERVENTIONAL,WITHDRAWN
NCT01990079,Use of Technological Advances to Prevent Smoking Relapse Among Smokers With PTSD,"PTSD, Smoking",Bupropion; nicotine replacement therapy; Smoking cessation counseling; mobile contingency management; Stay Quit Coach,15,NA,Not specified,Not specified,Not specified,Use of Technological Advances to Prevent Smoking Relapse Among Smokers With PTSD,True,0.2,False,Medium,False,False,INTERVENTIONAL,COMPLETED
NCT02351479,"Hula, a Physical Activity Intervention for Female-Cancer Survivors","Physical Activity, Breast Cancer, Cervical Cancer, Ovarian Cancer, Endometrial Cancer",Hula,73,NA,Not specified,Not specified,Not specified,"Hula, a Physical Activity Intervention for Female-Cancer Survivors",True,0.2,True,High,False,False,INTERVENTIONAL,COMPLETED
NCT01757379,Determination of the Bioavailability of Short Chain Fatty Acids in Healthy Humans,Short Chain Fatty Acids Bioavailability,13C-labeled Acetate; 13C-labeled propionate; 13C-labeled butyrate; Inulin,12,NA,Not specified,Not specified,Not specified,Determination of the Bioavailability of Short Chain Fatty Acids in Healthy Humans,True,0.2,False,High,False,False,INTERVENTIONAL,COMPLETED
NCT04665479,Digital-storytelling Intervention for Rural-dwelling Children,Pediatrics,Web-based legacy-making intervention through digital storytelling,50,NA,Not specified,Not specified,Not specified,Digital-storytelling Intervention for Rural-dwelling Children,True,0.2,False,High,False,False,INTERVENTIONAL,COMPLETED
NCT00575679,Behavior and Driving Safety Study,Alcoholic Intoxication,Brief motivational interview,864,NA,Not specified,Not specified,Not specified,Behavior and Driving Safety Study,True,0.2,True,Medium,False,False,INTERVENTIONAL,COMPLETED
NCT01039779,Tai Chi Exercise in Older People,Fallers Aged 60 Years and Older,Exercise,456,NA,Not specified,Not specified,Not specified,Tai Chi Exercise in Older People,True,0.2,True,Low,False,False,INTERVENTIONAL,COMPLETED
NCT03743779,Mastering Diabetes Pilot Study,Diabetes Mellitus,Mastering Diabetes,253,Not specified,Not specified,Not specified,Not specified,Mastering Diabetes Pilot Study,True,0.2,True,Low,False,False,OBSERVATIONAL,COMPLETED
NCT06504979,The Post Intensive Care Syndrome Follow-up and Management Study: the ICU Recovery Answers Project,"Post Intensive Care Syndrome, ICU Survivors, ICU Families",Telehealth follow-up of post-intensive care syndrome,180,NA,Not specified,Not specified,Not specified,The Post Intensive Care Syndrome Follow-up and Management Study: the ICU Recovery Answers Project,True,0.2,True,High,False,False,INTERVENTIONAL,ENROLLING_BY_INVITATION
NCT00372879,Clinical Trial of Vitamin E to Treat Muscular Cramps in Patients With ALS,Amyotrophic Lateral Sclerosis,Vitamin E,32,PHASE3,Not specified,Not specified,Not specified,Clinical Trial of Vitamin E to Treat Muscular Cramps in Patients With ALS,False,0.3,False,High,True,False,INTERVENTIONAL,COMPLETED
NCT03284879,Post-Marketing Surveillance Study of OTEZLA,Psoriasis,Not specified,1086,Not specified,Not specified,Not specified,Not specified,Post-Marketing Surveillance Study of OTEZLA,True,0.2,True,High,False,False,OBSERVATIONAL,COMPLETED
NCT05357079,Impact of Topical Tranexamic Acid on Pre- and Post-operative Hemoglobin/Hematocrit,Fracture of Posterior Wall of Acetabulum,Tranexamic Acid; Normal saline,94,EARLY_PHASE1,Not specified,Not specified,Not specified,Impact of Topical Tranexamic Acid on Pre- and Post-operative Hemoglobin/Hematocrit,True,0.3,True,Medium,True,True,INTERVENTIONAL,COMPLETED
NCT03885479,Impact of Different Dietary IgGs on the Pathogenesis of IBD,"Inflammatory Bowel Diseases, Food Intolerance",ELISA for the semi-quantitative analysis of serum food-specific IgGs against food-derived antigens,150,Not specified,Not specified,Not specified,Not specified,Impact of Different Dietary IgGs on the Pathogenesis of IBD,True,0.2,True,High,False,False,OBSERVATIONAL,UNKNOWN
NCT04850079,EHR Precision Drug Treatment in Neonates,"Pain, Acute, Pain, Chronic",Not specified,200,Not specified,Not specified,Not specified,Not specified,EHR Precision Drug Treatment in Neonates,True,0.2,True,High,False,True,OBSERVATIONAL,ACTIVE_NOT_RECRUITING
NCT03630679,"A Study Evaluating Sleep, Stress and Infant Nutrition Using a Chatbot","Preterm Birth, Healthy",Not specified,45,Not specified,Not specified,Not specified,Not specified,"A Study Evaluating Sleep, Stress and Infant Nutrition Using a Chatbot",True,0.2,False,High,False,False,OBSERVATIONAL,COMPLETED
NCT04092179,Study of Enasidenib and Venetoclax in IDH2-Mutated Blood Cancers,"Acute Myeloid Leukemia, Relapsed Cancer, Refractory Cancer, IDH2 Gene Mutation",Enasidenib; Venetoclax,27,PHASE1,Not specified,Not specified,Not specified,Study of Enasidenib and Venetoclax in IDH2-Mutated Blood Cancers,True,0.2,False,High,False,False,INTERVENTIONAL,TERMINATED
NCT04090879,Low Nicotine Content Cigarettes in Vulnerable Populations: Affective Disorders,Tobacco Use Disorder,Either normal nicotine content cigarettes (15.8mg/g) or reduced nicotine content cigarettes (0.4mg/g); E-Cigarettes,326,PHASE2,Not specified,Not specified,Not specified,Low Nicotine Content Cigarettes in Vulnerable Populations: Affective Disorders,True,0.2,True,High,False,False,INTERVENTIONAL,COMPLETED
NCT06091579,"A Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Treprostinil Palmitil Inhalation Powder (TPIP) in Healthy Participants",Healthy Volunteers,Treprostinil Palmitil Inhalation Powder; Placebo,42,PHASE1,Not specified,Not specified,Not specified,"A Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Treprostinil Palmitil Inhalation Powder (TPIP) in Healthy Participants",True,0.3,False,Medium,True,False,INTERVENTIONAL,COMPLETED
NCT02079779,Efficacy Study of an Interactive Robot for the Rehabilitation of the Upper Limb in Acute Stroke Patients,Acute Stroke,Robotic-assisted therapy; Classical therapy,45,NA,Not specified,Not specified,Not specified,Efficacy Study of an Interactive Robot for the Rehabilitation of the Upper Limb in Acute Stroke Patients,True,0.2,False,High,False,False,INTERVENTIONAL,COMPLETED
NCT03111979,The Effects of 4 Week β-alanine Supplementation on Knee Extensor Contractile and Force Properties in the Over 60s,Muscle Function,beta-alanine; Placebo,24,PHASE4,Not specified,Not specified,Not specified,The Effects of 4 Week β-alanine Supplementation on Knee Extensor Contractile and Force Properties in the Over 60s,True,0.3,False,High,True,False,INTERVENTIONAL,SUSPENDED
NCT01713179,Effects of Oral Mucolytics on Tear Film and Ocular Surface,"In the Present Study, we Investigated the Effects of Oral Ambroxol on Tear Film and Ocular Surface.","Ambroxol hydrochloride (Mucopect®, 60 mg, Boehringer Ingelheim)",20,PHASE1,Not specified,Not specified,Not specified,Effects of Oral Mucolytics on Tear Film and Ocular Surface,True,0.2,False,High,False,False,INTERVENTIONAL,COMPLETED
NCT06326879,A Comparative Study Between Early Onset Colorectal Cancer and Late Onset Colorectal Cancer Patients,Colorectal Cancer,No intervention,340,Not specified,Not specified,Not specified,Not specified,A Comparative Study Between Early Onset Colorectal Cancer and Late Onset Colorectal Cancer Patients,True,0.2,True,High,False,False,OBSERVATIONAL,RECRUITING
NCT00339079,Treatment of Hypochondriasis With CBT and/or SSRI,Hypochondriasis,Fluoxetine; Cognitive Behavioral Therapy (CBT); Supportive Therapy; Placebo,195,PHASE1,Not specified,Not specified,Not specified,Treatment of Hypochondriasis With CBT and/or SSRI,True,0.3,True,High,True,True,INTERVENTIONAL,COMPLETED
NCT06351579,Data Collection Post Radical Prostatectomy,"Stress Urinary Incontinence, Radical Prostatectomy, BPH",Control,30,Not specified,Not specified,Not specified,Not specified,Data Collection Post Radical Prostatectomy,True,0.2,False,High,False,False,OBSERVATIONAL,NOT_YET_RECRUITING
NCT04669379,Is an Online-tool Capable of Improving Patients' Outcomes After Surgery?,Patients Undergoing Surgery,EXPECT: Preoperative optimization of patient's expectations,29,NA,Not specified,Not specified,Not specified,Is an Online-tool Capable of Improving Patients' Outcomes After Surgery?,True,0.3,False,High,True,True,INTERVENTIONAL,TERMINATED
NCT06233279,Study of Application of Transcutaneous Trigeminal Nerve Stimulation on Autism Spectrum Disorder,Autism Spectrum Disorder,"Charge-Balanced, Symmetric Nerve Stimulation; Sham Stimulation",30,NA,Not specified,Not specified,Not specified,Study of Application of Transcutaneous Trigeminal Nerve Stimulation on Autism Spectrum Disorder,True,0.3,False,High,True,False,INTERVENTIONAL,RECRUITING
NCT05566379,Mindfulness in Post Acute Sequelae of SARS-CoV-2 Infection (PASC) Dysautonomia,"Long COVID, Dysautonomia",Mindfulness - Mindful Awareness Practices ( MAPs),20,NA,Not specified,Not specified,Not specified,Mindfulness in Post Acute Sequelae of SARS-CoV-2 Infection (PASC) Dysautonomia,True,0.2,False,High,False,False,INTERVENTIONAL,COMPLETED
NCT01433679,The Effect of a Web-Based Behavioral Intervention on Physical Activity Levels in Adolescents,"Health Behavior, Adolescent Behavior, Motivation",Zamzee Intervention,448,NA,Not specified,Not specified,Not specified,The Effect of a Web-Based Behavioral Intervention on Physical Activity Levels in Adolescents,True,0.2,True,Medium,False,False,INTERVENTIONAL,COMPLETED
NCT06724679,VRFR- Immersive Virtual Reality Use in a Spine Functional Restoration Program - A Feasibility Study,Chronic Low Back Pain,Utilisability of an immersive VR device in a functional restoration program (FRP) for patients with chronic low back pain.,20,NA,Not specified,Not specified,Not specified,VRFR- Immersive Virtual Reality Use in a Spine Functional Restoration Program - A Feasibility Study,True,0.2,False,High,False,False,INTERVENTIONAL,RECRUITING
NCT07017179,"This is a Multi-centre, Multi-drug, Platform Study in Chinese Participants Living With Obesity/Overweight",Obesity/Overweight,AZD6234; Placebo,871,PHASE2,Not specified,Not specified,Not specified,"This is a Multi-centre, Multi-drug, Platform Study in Chinese Participants Living With Obesity/Overweight",True,0.3,True,High,True,True,INTERVENTIONAL,RECRUITING
NCT01226979,Study of High-Dose-Rate Endorectal Brachytherapy (HDRBT) in the Treatment of Locally Advanced Low Rectal Cancer,Rectal Cancer,High-dose endorectal brachytherapy (HDRBT),16,NA,Not specified,Not specified,Not specified,Study of High-Dose-Rate Endorectal Brachytherapy (HDRBT) in the Treatment of Locally Advanced Low Rectal Cancer,True,0.2,False,High,False,True,INTERVENTIONAL,COMPLETED
NCT04470479,Oral Pilocarpine in the Treatment of the Dry Eye of Patients With Sjogrens Syndrome,Dry Eye,Pilocarpine Hydrochloride; Placebo,32,PHASE3,Not specified,Not specified,Not specified,Oral Pilocarpine in the Treatment of the Dry Eye of Patients With Sjogrens Syndrome,True,0.3,False,High,True,False,INTERVENTIONAL,COMPLETED
NCT02266979,Study to Determine Appropriate Nurse: Patient Ratios in Peritoneal Dialysis Programs,Chronic Renal Failure,Not specified,10,Not specified,Not specified,Not specified,Not specified,Study to Determine Appropriate Nurse: Patient Ratios in Peritoneal Dialysis Programs,True,0.2,False,High,False,False,OBSERVATIONAL,COMPLETED
NCT06647979,Hematopoietic Stem Cell BCL11A Enhancer Gene Editing for Severe Β-Hemoglobinopathies,"Sickle Cell Disease, Sickle Cell Anemia (HbSS, or HbSβ-thalassemia0), Beta-Thalassemia, Transfusion Dependent Beta-Thalassaemia",autologous bone marrow derived CD34+ HSPCs electroporated with BCL11A enhancer targeting Cas9 ribonucleoprotein; Sequencing Assay for Variant rs114518452,10,PHASE1,Not specified,Not specified,Not specified,Hematopoietic Stem Cell BCL11A Enhancer Gene Editing for Severe Β-Hemoglobinopathies,True,0.2,False,High,False,True,INTERVENTIONAL,NOT_YET_RECRUITING
NCT05800379,Study on Hospitalization of Children With Bronchial Asthma,Asthma in Children,Not specified,470,Not specified,Not specified,Not specified,Not specified,Study on Hospitalization of Children With Bronchial Asthma,True,0.2,True,High,False,False,OBSERVATIONAL,RECRUITING
NCT03366779,A Post Marketing Surveillance Study,"Lumbar Disc Herniation, Annular Disc Tear, Annular Tear of Lumbar Disc",6mm annular closure device,20,PHASE4,Not specified,Not specified,Not specified,A Post Marketing Surveillance Study,True,0.2,False,High,False,False,INTERVENTIONAL,ACTIVE_NOT_RECRUITING
NCT05999279,Patient Preferences With Pharmaceutical Care: In-person Versus Digital Health,Patient Preference,Survey,386,Not specified,Not specified,Not specified,Not specified,Patient Preferences With Pharmaceutical Care: In-person Versus Digital Health,True,0.2,True,Medium,False,False,OBSERVATIONAL,COMPLETED
NCT01247779,Perioperative Morbidity in Gyneco-oncology According to the Procedure : Coelioscopy Versus Robot-assisted Coelioscopy,"Cervical Cancer, Uterus Cancer, Ovarian Cancer",gynecologic surgery - standard coelioscopy; gynecologic surgery - robot assisted coelioscopy,386,NA,Not specified,Not specified,Not specified,Perioperative Morbidity in Gyneco-oncology According to the Procedure : Coelioscopy Versus Robot-assisted Coelioscopy,True,0.2,True,High,False,True,INTERVENTIONAL,COMPLETED
NCT01104779,Safety and Efficacy of Cariprazine in Schizophrenia,Schizophrenia,Cariprazine; Placebo,446,PHASE3,Not specified,Not specified,Not specified,Safety and Efficacy of Cariprazine in Schizophrenia,False,0.3,True,High,True,True,INTERVENTIONAL,COMPLETED
NCT05671679,Supporting Meal Management in Type 1 Diabetes,Type 1 Diabetes,SNAQ app; Traditional carbohydrate counting,44,NA,Not specified,Not specified,Not specified,Supporting Meal Management in Type 1 Diabetes,True,0.2,False,High,False,False,INTERVENTIONAL,COMPLETED
NCT02740179,Effects of Eplerenone on Cardiovascular Disease in HIV (MIRACLE HIV Study),HIV,Eplerenone; Placebo; Lifestyle Modification,40,NA,Not specified,Not specified,Not specified,Effects of Eplerenone on Cardiovascular Disease in HIV (MIRACLE HIV Study),True,0.3,False,High,True,False,INTERVENTIONAL,COMPLETED
NCT05468879,Bioequivalence Study of 3 mg Glimepiride Tablet in Indonesia Healthy Subjects,Drug Use,Glimepiride; Amaryl®,34,NA,Not specified,Not specified,Not specified,Bioequivalence Study of 3 mg Glimepiride Tablet in Indonesia Healthy Subjects,True,0.2,False,High,False,True,INTERVENTIONAL,COMPLETED
NCT06101979,A Prospective Study of Fortiva in Hernia Repair,"Ventral Hernia, Incisional Hernia, Abdominal Wall Reconstruction",Fortiva Tissue Matrix,120,Not specified,Not specified,Not specified,Not specified,A Prospective Study of Fortiva in Hernia Repair,True,0.2,True,High,False,False,OBSERVATIONAL,ENROLLING_BY_INVITATION
NCT04164979,Ph II Study of Cabozantinib With Pembrolizumab in Metastatic Gastric and Gastroesophageal Adenocarcinoma,"Gastric Adenocarcinoma, GastroEsophageal Cancer",Cabozantinib; Pembrolizumab,20,PHASE2,Not specified,Not specified,Not specified,Ph II Study of Cabozantinib With Pembrolizumab in Metastatic Gastric and Gastroesophageal Adenocarcinoma,True,0.2,False,High,False,True,INTERVENTIONAL,ACTIVE_NOT_RECRUITING
NCT03412279,"Validation of Hausa Oswestry Disability Index, Numeric Pain Rating Scale, Roland-Morris Disability Questionnaire, SF-12 Health Survey, Pain Catastrophizing Scale, Fear-Avoidance Beliefs Questionnaire,Global Rating of Change Scale and Back Beliefs Questionnaire in Low Back Pain Patients",Chronic Low Back Pain,Application of the initial evaluation; Final application of instruments,200,Not specified,Not specified,Not specified,Not specified,"Validation of Hausa Oswestry Disability Index, Numeric Pain Rating Scale, Roland-Morris Disability Questionnaire, SF-12 Health Survey, Pain Catastrophizing Scale, Fear-Avoidance Beliefs Questionnaire,Global Rating of Change Scale and Back Beliefs Questionnaire in Low Back Pain Patients",True,0.2,True,High,False,False,OBSERVATIONAL,COMPLETED
NCT06412679,RESETTLE-IDPs: Life-Skills Education and Psychosocial Resilience Building for Displaced Nigerians,"Mental Health, Psychosocial Functioning, Implementation Science, Global Health, Conflict",Life Skills Education,500,NA,Not specified,Not specified,Not specified,RESETTLE-IDPs: Life-Skills Education and Psychosocial Resilience Building for Displaced Nigerians,True,0.2,True,High,False,False,INTERVENTIONAL,ACTIVE_NOT_RECRUITING
NCT03444779,"Comparative Evaluation of Minimally Invasive ""tibial Tuberoplasty"" Surgical Technique Versus Conventional Open Surgery for Tibial Plateau Fractures",Schatzker Type 2 or 3 Tibial Plateau Fracture,Tibial Tuberoplasty; Open technique,137,NA,Not specified,Not specified,Not specified,"Comparative Evaluation of Minimally Invasive ""tibial Tuberoplasty"" Surgical Technique Versus Conventional Open Surgery for Tibial Plateau Fractures",True,0.2,True,High,False,True,INTERVENTIONAL,COMPLETED
NCT06963879,Validation Study of a New Digital Diagnostic and Treatment Test Based on Interactive Video Games for Alzheimer's Disease,"Alzheimer Disease, MCI",Bgaze Therapy; Bgaze Attention Task,60,NA,Not specified,Not specified,Not specified,Validation Study of a New Digital Diagnostic and Treatment Test Based on Interactive Video Games for Alzheimer's Disease,True,0.2,True,High,False,False,INTERVENTIONAL,ENROLLING_BY_INVITATION
NCT04011579,Pilates Training in Multiple Sclerosis,"Multiple Sclerosis, Physical Activity",MSFIT,126,NA,Not specified,Not specified,Not specified,Pilates Training in Multiple Sclerosis,True,0.2,True,High,False,False,INTERVENTIONAL,COMPLETED
NCT03845179,GA 6: The Blood Glucose-lowering Effect of Glucose-dependent Insulinotropic Polypeptide,Type2 Diabetes,Placebo; GIP receptor antagonist; DPP-4 inhibitor; Placebo tablet,12,NA,Not specified,Not specified,Not specified,GA 6: The Blood Glucose-lowering Effect of Glucose-dependent Insulinotropic Polypeptide,False,0.3,False,Low,True,True,INTERVENTIONAL,COMPLETED
NCT05909579,Investigating the Effectiveness of PelvicSense(R) on Pain and Sexual Outcomes in Endometriosis,Endometriosis,PelvicSense (R),50,NA,Not specified,Not specified,Not specified,Investigating the Effectiveness of PelvicSense(R) on Pain and Sexual Outcomes in Endometriosis,True,0.2,False,High,False,False,INTERVENTIONAL,ACTIVE_NOT_RECRUITING
NCT05900479,"Multi-site, Longitudinal Trial Evaluating the Efficacy, Mechanisms, and Moderators of Service Dogs for Military Veterans With PTSD","Stress Disorders, Post-Traumatic, Combat Stress Disorders, Animal-Human Bonding",PTSD Service Dog,150,NA,Not specified,Not specified,Not specified,"Multi-site, Longitudinal Trial Evaluating the Efficacy, Mechanisms, and Moderators of Service Dogs for Military Veterans With PTSD",True,0.2,True,High,False,False,INTERVENTIONAL,ENROLLING_BY_INVITATION
NCT05167279,A Study of JS026 and JS026 Together With JS016 for Treatment of COVID-19,COVID-19,JS026/placebo; JS016/placebo,48,PHASE1,Not specified,Not specified,Not specified,A Study of JS026 and JS026 Together With JS016 for Treatment of COVID-19,True,0.3,False,Medium,True,False,INTERVENTIONAL,COMPLETED
NCT06719479,A Clinical Trial to Evaluate Effect of IAE0972 Combined with Chemotherapy for R/M HNSCC or NPC(Note: It is Currently Phase II.).,"NPC, HNSCC, Recurrence, Metastasis",IAE0972+ Methotrexate; IAE0972+Docetaxel; IAE0972+Gemcitabine; IAE0972+Taxanes; IAE0972+Capecitabine,60,PHASE2,Not specified,Not specified,Not specified,A Clinical Trial to Evaluate Effect of IAE0972 Combined with Chemotherapy for R/M HNSCC or NPC(Note: It is Currently Phase II.).,True,0.3,True,Medium,True,False,INTERVENTIONAL,NOT_YET_RECRUITING
NCT01668979,"Assessment of a New System to Detect, Quantify and Treat Near Falls in Older Adults",Idiopathic Fallers,new system to detect Near Falls,20,Not specified,Not specified,Not specified,Not specified,"Assessment of a New System to Detect, Quantify and Treat Near Falls in Older Adults",True,0.2,False,High,False,False,OBSERVATIONAL,UNKNOWN
NCT05047679,The Effectiveness of Pain Neuroscience Education in At-risk Patients Following Surgery for Lumbar Radiculopathy,Lumbar Radiculopathy,Perioperative Pain Neuroscience Education; Perioperative Biomedical Education,6,NA,Not specified,Not specified,Not specified,The Effectiveness of Pain Neuroscience Education in At-risk Patients Following Surgery for Lumbar Radiculopathy,True,0.2,False,High,False,True,INTERVENTIONAL,TERMINATED
NCT03732079,Inferior Vena Cava Diameter and Postpartum Hemorrhage,"Other Immediate Postpartum Hemorrhage, With Delivery",Ultrasound,108,Not specified,Not specified,Not specified,Not specified,Inferior Vena Cava Diameter and Postpartum Hemorrhage,True,0.2,True,High,False,False,OBSERVATIONAL,UNKNOWN
NCT07060079,The Use of Entropy to Assess Sleep Disordered Breathing in Chronic Respiratory Disease,"Bronchial Asthma, Bronchiectasis, ILD, COPD, OSAHS, OSA, Obesity Hypoventilation Syndrome (OHS)",Not specified,120,Not specified,Not specified,Not specified,Not specified,The Use of Entropy to Assess Sleep Disordered Breathing in Chronic Respiratory Disease,True,0.2,True,High,False,False,OBSERVATIONAL,RECRUITING
NCT01420679,Pralatrexate vs Observation Following CHOP-based Chemotherapy in Undiagnosed Peripheral T-cell Lymphoma Patients,Peripheral T-cell Lymphoma,Pralatrexate Injection,21,PHASE3,Not specified,Not specified,Not specified,Pralatrexate vs Observation Following CHOP-based Chemotherapy in Undiagnosed Peripheral T-cell Lymphoma Patients,True,0.2,False,High,False,True,INTERVENTIONAL,TERMINATED
NCT01329679,Impact of Energy Drinks on Cardiovascular Endpoints,Healthy Volunteers,Energy Drink; Placebo,26,NA,Not specified,Not specified,Not specified,Impact of Energy Drinks on Cardiovascular Endpoints,False,0.3,False,High,True,False,INTERVENTIONAL,TERMINATED
NCT02214979,Bioequivalence of Telmisartan / Ramipril Fixed Dose Combination Compared With the Monocomponents Given Concomitantly to Healthy Male and Female Volunteers,Healthy,Telmisartan/Ramipril; Telmisartan; Ramipril capsule; Ramipril tablet,84,PHASE1,Not specified,Not specified,Not specified,Bioequivalence of Telmisartan / Ramipril Fixed Dose Combination Compared With the Monocomponents Given Concomitantly to Healthy Male and Female Volunteers,True,0.2,True,High,False,True,INTERVENTIONAL,COMPLETED
